gene_short_name	num_cells_expressed
MIR1302-10	MIR1302-10	0
FAM138A	FAM138A	0
OR4F5	OR4F5	0
RP11-34P13.7	RP11-34P13.7	0
RP11-34P13.8	RP11-34P13.8	0
AL627309.1	AL627309.1	0
RP11-34P13.14	RP11-34P13.14	0
RP11-34P13.9	RP11-34P13.9	0
AP006222.2	AP006222.2	0
RP4-669L17.10	RP4-669L17.10	0
OR4F29	OR4F29	0
RP4-669L17.2	RP4-669L17.2	0
RP5-857K21.15	RP5-857K21.15	0
RP5-857K21.1	RP5-857K21.1	0
RP5-857K21.2	RP5-857K21.2	0
RP5-857K21.3	RP5-857K21.3	0
RP5-857K21.4	RP5-857K21.4	0
RP5-857K21.5	RP5-857K21.5	0
OR4F16	OR4F16	0
RP11-206L10.3	RP11-206L10.3	0
RP11-206L10.5	RP11-206L10.5	0
RP11-206L10.4	RP11-206L10.4	0
RP11-206L10.2	RP11-206L10.2	0
RP11-206L10.9	RP11-206L10.9	1
AL669831.1	AL669831.1	0
FAM87B	FAM87B	0
LINC00115	LINC00115	6
FAM41C	FAM41C	2
AL645608.2	AL645608.2	0
RP11-54O7.16	RP11-54O7.16	0
RP11-54O7.1	RP11-54O7.1	0
RP11-54O7.2	RP11-54O7.2	0
RP11-54O7.3	RP11-54O7.3	0
SAMD11	SAMD11	0
AL645608.1	AL645608.1	0
NOC2L	NOC2L	40
KLHL17	KLHL17	0
PLEKHN1	PLEKHN1	1
C1orf170	C1orf170	0
RP11-54O7.17	RP11-54O7.17	0
HES4	HES4	1
RP11-54O7.11	RP11-54O7.11	0
ISG15	ISG15	107
AGRN	AGRN	1
RP11-54O7.18	RP11-54O7.18	0
RNF223	RNF223	0
C1orf159	C1orf159	7
RP11-465B22.5	RP11-465B22.5	0
RP11-465B22.8	RP11-465B22.8	0
TTLL10-AS1	TTLL10-AS1	0
TTLL10	TTLL10	1
TNFRSF18	TNFRSF18	27
TNFRSF4	TNFRSF4	29
SDF4	SDF4	75
B3GALT6	B3GALT6	5
FAM132A	FAM132A	0
RP5-902P8.12	RP5-902P8.12	0
UBE2J2	UBE2J2	44
RP5-902P8.10	RP5-902P8.10	0
SCNN1D	SCNN1D	2
